iter	Passed	Remaining
548	2001	1644
549	2004	1639
550	2006	1635
551	2009	1630
552	2012	1626
553	2017	1624
554	2023	1622
555	2027	1619
556	2032	1616
557	2034	1611
558	2037	1607
559	2039	1602
560	2048	1602
561	2051	1599
562	2054	1594
563	2058	1590
564	2062	1587
565	2066	1584
566	2068	1579
567	2072	1576
568	2075	1572
569	2080	1569
570	2083	1565
571	2086	1561
572	2091	1558
573	2095	1555
574	2099	1552
575	2103	1548
576	2106	1544
577	2109	1540
578	2112	1536
579	2115	1532
580	2118	1527
581	2121	1523
582	2123	1518
583	2126	1514
584	2129	1510
585	2132	1506
586	2135	1502
587	2139	1498
588	2144	1496
589	2147	1492
590	2149	1487
591	2153	1484
592	2160	1482
593	2162	1478
594	2166	1474
595	2170	1471
596	2173	1467
597	2176	1463
598	2179	1459
599	2183	1455
600	2190	1453
601	2193	1450
602	2196	1445
603	2203	1444
604	2205	1440
605	2208	1436
606	2214	1433
607	2219	1431
608	2222	1426
609	2224	1422
610	2226	1417
611	2229	1413
612	2235	1411
613	2239	1407
614	2243	1404
615	2248	1401
616	2251	1397
617	2254	1393
618	2257	1389
619	2260	1385
620	2265	1382
621	2268	1378
622	2271	1374
623	2279	1373
624	2283	1370
625	2288	1367
626	2291	1363
627	2295	1359
628	2299	1356
629	2302	1352
630	2305	1348
631	2307	1343
632	2311	1340
633	2314	1336
634	2318	1332
635	2321	1328
636	2323	1323
637	2326	1320
638	2331	1317
639	2334	1312
640	2337	1309
641	2340	1304
642	2342	1300
643	2347	1297
644	2352	1294
645	2357	1291
646	2361	1288
647	2364	1284
648	2367	1280
649	2369	1275
650	2373	1272
651	2377	1269
652	2381	1265
653	2384	1261
654	2388	1257
655	2393	1255
656	2397	1251
657	2401	1248
658	2409	1246
659	2413	1243
660	2418	1240
661	2425	1238
662	2430	1235
663	2437	1233
664	2441	1229
665	2445	1226
666	2448	1222
667	2455	1220
668	2458	1216
669	2460	1212
670	2473	1212
671	2485	1213
672	2489	1209
673	2494	1206
674	2498	1202
675	2503	1200
676	2507	1196
677	2511	1192
678	2514	1188
679	2519	1185
680	2524	1182
681	2528	1179
682	2532	1175
683	2535	1171
684	2541	1168
685	2547	1166
686	2552	1162
687	2557	1159
688	2561	1156
689	2564	1152
690	2567	1148
691	2570	1144
692	2573	1139
693	2575	1135
694	2578	1131
695	2583	1128
696	2589	1125
697	2594	1122
698	2599	1119
699	2603	1115
700	2607	1112
701	2612	1108
702	2620	1106
703	2626	1104
704	2633	1101
705	2636	1098
706	2639	1093
707	2645	1091
708	2648	1087
709	2652	1083
710	2654	1079
711	2660	1076
712	2663	1072
713	2666	1068
714	2669	1063
715	2675	1061
716	2678	1057
717	2681	1053
718	2683	1048
719	2686	1044
720	2690	1041
721	2695	1037
722	2698	1033
723	2702	1030
724	2706	1026
725	2709	1022
726	2711	1018
727	2713	1013
728	2715	1009
729	2724	1007
730	2728	1004
731	2732	1000
732	2740	998
733	2743	994
734	2745	989
735	2748	986
736	2752	982
737	2755	978
738	2758	974
739	2760	969
740	2763	965
741	2766	961
742	2769	958
743	2772	954
744	2775	950
745	2778	945
746	2781	941
747	2783	937
748	2787	934
749	2791	930
750	2796	927
751	2800	923
752	2803	919
753	2807	915
754	2812	912
755	2818	909
756	2822	906
757	2825	901
758	2827	897
759	2830	893
760	2834	890
761	2836	886
762	2839	882
763	2842	877
764	2844	873
765	2848	870
766	2851	866
767	2854	862
768	2856	858
769	2859	854
770	2863	850
771	2868	847
772	2872	843
773	2874	839
774	2882	836
775	2885	832
776	2889	829
777	2894	825
778	2897	821
779	2899	817
780	2901	813
781	2904	809
782	2907	805
783	2911	802
784	2913	797
785	2915	793
786	2918	789
787	2920	785
788	2923	781
789	2925	777
790	2928	773
791	2930	769
792	2932	765
793	2935	761
794	2938	757
795	2941	753
796	2945	750
797	2948	746
798	2951	742
799	2954	738
800	2960	735
801	2963	731
802	2966	727
803	2969	723
804	2971	719
805	2974	715
806	2976	711
807	2979	707
808	2981	703
809	2984	699
810	2986	695
811	2989	692
812	2991	688
813	2993	684
814	2996	680
815	2999	676
816	3001	672
817	3004	668
818	3006	664
819	3008	660
820	3011	656
821	3015	652
822	3017	648
823	3020	645
824	3024	641
825	3028	638
826	3032	634
827	3035	630
828	3038	626
829	3041	623
830	3044	619
831	3046	615
832	3049	611
833	3052	607
834	3055	603
835	3058	599
836	3060	595
837	3062	592
838	3064	588
839	3069	584
840	3073	581
841	3077	577
842	3080	573
843	3088	570
844	3091	567
845	3094	563
846	3098	559
847	3100	555
848	3103	551
849	3105	548
850	3107	544
851	3110	540
852	3112	536
853	3115	532
854	3118	528
855	3121	525
856	3125	521
857	3127	517
858	3130	513
859	3133	510
860	3135	506
861	3137	502
862	3140	498
863	3143	494
864	3148	491
865	3150	487
866	3153	483
867	3156	480
868	3158	476
869	3160	472
870	3163	468
871	3165	464
872	3167	460
873	3170	457
874	3172	453
875	3174	449
876	3176	445
877	3179	441
878	3181	437
879	3183	434
880	3186	430
881	3191	426
882	3196	423
883	3204	420
884	3209	417
885	3213	413
886	3228	411
887	3238	408
888	3243	405
889	3248	401
890	3253	397
891	3257	394
892	3264	391
893	3270	387
894	3276	384
895	3283	381
896	3288	377
897	3293	374
898	3308	371
899	3313	368
900	3319	364
901	3324	361
902	3328	357
903	3331	353
904	3335	350
905	3338	346
906	3342	342
907	3345	339
908	3348	335
909	3350	331
910	3352	327
911	3356	323
912	3358	320
913	3360	316
914	3363	312
915	3365	308
916	3368	304
917	3371	301
918	3374	297
919	3378	293
920	3381	290
921	3384	286
922	3387	282
923	3389	278
924	3392	275
925	3395	271
926	3397	267
927	3400	263
928	3403	260
929	3405	256
930	3412	252
931	3419	249
932	3422	245
933	3425	242
934	3428	238
935	3433	234
936	3435	231
937	3440	227
938	3449	224
939	3455	220
940	3461	217
941	3472	213
942	3480	210
943	3495	207
944	3503	203
945	3509	200
946	3517	196
947	3521	193
948	3525	189
949	3532	185
950	3536	182
951	3541	178
952	3546	174
953	3551	171
954	3556	167
955	3561	163
956	3568	160
957	3572	156
958	3576	152
959	3580	149
960	3585	145
961	3589	141
962	3593	138
963	3597	134
964	3600	130
965	3607	126
966	3616	123
967	3620	119
968	3624	115
969	3627	112
970	3631	108
971	3635	104
972	3643	101
973	3646	97
974	3649	93
975	3652	89
976	3656	86
977	3658	82
978	3660	78
979	3662	74
980	3665	71
981	3669	67
982	3672	63
983	3674	59
984	3676	55
985	3679	52
986	3682	48
987	3685	44
988	3690	41
989	3692	37
990	3695	33
991	3698	29
992	3700	26
993	3703	22
994	3707	18
995	3711	14
996	3715	11
997	3718	7
998	3720	3
999	3722	0
